text,intent
我想听音乐,play_music
播放周杰伦的歌,play_music
来点流行音乐,play_music
播放陈奕迅的十年,play_music
想听舒缓的纯音乐,play_music
循环播放周杰伦的七里香,play_music
播放最近热门的歌曲,play_music
打开音乐播放器,play_music
播放邓紫棋的泡沫,play_music
来点粤语歌,play_music
播放李荣浩的麻雀,play_music
想听经典老歌,play_music
播放 Taylor Swift 的 Love Story,play_music
音乐换一首,play_music
播放轻音乐助眠,play_music
空调温度调到26度,set_temperature
把空调调到24度,set_temperature
空调降温到22度,set_temperature
空调升温到28度,set_temperature
空调温度调高3度,set_temperature
空调温度调低2度,set_temperature
客厅空调设为25度,set_temperature
卧室空调调到27度,set_temperature
空调温度保持在26度,set_temperature
把空调温度调到舒适模式,set_temperature
空调制冷到23度,set_temperature
空调制热到29度,set_temperature
书房空调调至24度,set_temperature
空调温度调为20度,set_temperature
把空调温度调高一点,set_temperature
把客厅的灯打开,turn_on_light
打开卧室的灯,turn_on_light
开启书房的灯,turn_on_light
打开厨房的灯,turn_on_light
把阳台的灯打开,turn_on_light
开启客厅主灯,turn_on_light
打开卫生间的灯,turn_on_light
把餐厅的灯打开,turn_on_light
开启卧室床头灯,turn_on_light
打开走廊的灯,turn_on_light
把书房的台灯打开,turn_on_light
开启客厅氛围灯,turn_on_light
打开厨房吊灯,turn_on_light
把阳台吸顶灯打开,turn_on_light
开启卫生间镜前灯,turn_on_light
今天北京天气怎么样,query_weather
查询上海今天的天气,query_weather
北京明天会下雨吗,query_weather
上海未来三天的天气,query_weather
广州今天的气温是多少,query_weather
深圳明天有没有台风,query_weather
查询杭州今天的天气状况,query_weather
北京后天的温度,query_weather
上海今天是否会下雪,query_weather
广州未来一周的天气,query_weather
查询成都今天的湿度,query_weather
深圳今天的风力是多少,query_weather
北京今天有没有雾霾,query_weather
上海今天的紫外线强度,query_weather
查询武汉今天的天气,query_weather
你好啊,chit_chat
早上好,chit_chat
下午好呀,chit_chat
晚上好,chit_chat
你好吗,chit_chat
最近怎么样,chit_chat
很高兴认识你,chit_chat
嗨，在吗,chit_chat
久违了,chit_chat
你好呀，最近还好吗,chit_chat
哈喽，好久不见,chit_chat
早啊，今天天气不错,chit_chat
你好，能帮我个忙吗,chit_chat
嗨，最近过得怎么样,chit_chat
您好，很高兴见到你,chit_chat
我不冷,deny_action
我不热,deny_action
不需要开空调,deny_action
不用关灯,deny_action
不需要播放音乐,deny_action
不用查询天气,deny_action
不需要调温度,deny_action
我不想听音乐,deny_action
不用开客厅的灯,deny_action
不需要制热,deny_action
不用制冷,deny_action
不需要开启卧室灯,deny_action
我不想聊天,deny_action
不用调高温度,deny_action
不需要调低温度,deny_action
不用关闭任何设备,deny_action
关掉卧室的灯,turn_off_light
关闭客厅的灯,turn_off_light
关掉书房的灯,turn_off_light
关闭厨房的灯,turn_off_light
关掉阳台的灯,turn_off_light
关闭卫生间的灯,turn_off_light
关掉餐厅的灯,turn_off_light
关闭卧室床头灯,turn_off_light
关掉走廊的灯,turn_off_light
关闭书房台灯,turn_off_light
关掉客厅氛围灯,turn_off_light
关闭厨房吊灯,turn_off_light
关掉阳台吸顶灯,turn_off_light
关闭卫生间镜前灯,turn_off_light
关掉所有的灯,turn_off_light